EVENT_DATE_KEY,TSN,SEARCH_TEXT,UI_VALUE_DESC_01,UI_VALUE_DESC_02,UI_VALUE_DESC_03,UI_VALUE_DESC_04,SEARCH_CONTEXT,MATCH,,
20150815,CDFD1CB98E21E9A045E15128C6B0C1EA,perry m,perry,mason,NA,NA,FALSE,#N/A,#N/A,
20150815,7582001903169AB,sh,show,me,a,hero,FALSE,1,1,
20150815,7582001903169AB,sh,show,me,a,hero,FALSE,1,1,
20150815,4C553643B81C68FF1C02FEE5DE06A42A,hann,hannah,montana,NA,NA,FALSE,1,1,
20150815,4C553643B81C68FF1C02FEE5DE06A42A,dragon,dragon,ball,z,NA,FALSE,1,1,
20150815,26E29882A427A0874E65D12637C47141,deu,deutschland,83,NA,NA,FALSE,1,1,
20150815,750000190442CD7,golf,pga,tour,golf,NA,FALSE,3,1,
20150815,750000190442CD7,golf,pga,tour,golf,NA,FALSE,3,1,
20150815,750000190442CD7,golf,golf,NA,NA,NA,FALSE,1,1,
20150815,09F30731B05556CC3E6BF5813E996046,p,power,NA,NA,NA,FALSE,1,1,
20150815,09F30731B05556CC3E6BF5813E996046,p,power,NA,NA,NA,FALSE,1,1,
20150815,09F30731B05556CC3E6BF5813E996046,p,power,NA,NA,NA,FALSE,1,1,
20150815,09F30731B05556CC3E6BF5813E996046,p,power,NA,NA,NA,FALSE,1,1,
20150815,09F30731B05556CC3E6BF5813E996046,p,power,NA,NA,NA,FALSE,1,1,
20150815,09F30731B05556CC3E6BF5813E996046,p,power,NA,NA,NA,FALSE,1,1,
20150815,AE43B91EAB78868DA97342A6B6516F06,murder,murder,made,me,famous,FALSE,1,1,
20150815,AE43B91EAB78868DA97342A6B6516F06,murder,murder,made,me,famous,FALSE,1,1,
20150815,AE43B91EAB78868DA97342A6B6516F06,murder,murder,made,me,famous,FALSE,1,1,
20150815,75000019069C3B6,bun,bunk'd,NA,NA,NA,FALSE,1,1,
20150815,75000019069C3B6,bun,bunk'd,NA,NA,NA,FALSE,1,1,
20150815,75000019069C3B6,bun,bunk'd,NA,NA,NA,FALSE,1,1,
20150815,2746910F9CA65D5A7890C2F0E7571731,loca,the,locator,NA,NA,FALSE,2,1,
20150815,84803019068954D,show,show,me,a,hero,FALSE,1,1,
